"date","gdp","nks","emp","hrs","co2","sox","ls","tfpe","tfph","pop"
"1850-01-01",,,,,,4.61879272183221,,,,
"1851-01-01",,,,,,4.59402490544844,,,,
"1852-01-01",,,,,,4.57490519795529,,,,
"1853-01-01",,,,,,4.59668080823417,,,,
"1854-01-01",,,,,,4.59695194200408,,,,
"1855-01-01",,,,,,4.56033003184034,,,,
"1856-01-01",,,,,,4.57702926530927,,,,
"1857-01-01",,,,,,4.56444736389341,,,,
"1858-01-01",,,,,,4.53616978933601,,,,
"1859-01-01",,,,,,4.53686815673837,,,,
"1860-01-01",,,,,31.1180332619495,5.24980859035337,,,,
"1861-01-01",,,,,711.825010867095,11.3021544465316,,,,
"1862-01-01",,,,,1303.06764284414,16.6055207316708,,,,
"1863-01-01",,,,,1135.80821406116,15.0302817636254,,,,
"1864-01-01",,,,,1703.71232109174,20.870108870013,,,,
"1865-01-01",,,,,1349.74469273706,17.0824618187552,,,,
"1866-01-01",,,,,1567.57092557071,19.2268861589291,,,,
"1867-01-01",,,,,1559.79141725522,19.1308446180149,,,,
"1868-01-01",,,,,1800.95617503533,21.6146667136943,,,,
"1869-01-01",,,,,1987.66437460702,23.2558755962478,,,,
"1870-01-01",,,,,2843.41028931063,31.0323849376056,,,,
"1871-01-01",,,,,2450.54511937852,27.8982992787631,,,,
"1872-01-01",,,,,3158.48037608787,34.2382772343246,,,,
"1873-01-01",,,,,2940.65414325423,32.5958983044388,,,,
"1874-01-01",,,,,3181.81890103434,34.9646916437206,,,,
"1875-01-01",,,,,3255.72423003147,35.4417026039928,,,,
"1876-01-01",,,,,4360.41441083067,45.0398846221586,,,,
"1877-01-01",,,,,4037.56481573795,42.3136181756687,,,,
"1878-01-01",,,,,4018.11604494923,42.1088092497138,,,,
"1879-01-01",,,,,4624.91769355724,47.6116820767485,,,,
"1880-01-01",,,,,5379.53000015952,55.4420323172095,,,,
"1881-01-01",,,,,6324.74026049123,64.9188467369792,,,,
"1882-01-01",,,,,6659.25911805719,69.6101666990481,,,,
"1883-01-01",,,,,7056.01404214705,73.9227997132697,,,,
"1884-01-01",,,,,7814.51610290707,82.0805112216127,,,,
"1885-01-01",,,,,8891.97800460207,92.9830747301328,,,,
"1886-01-01",,,,,8841.4112005514,94.615508857765,,,,
"1887-01-01",,,,,10774.61901695,114.018588348645,,,,
"1888-01-01",,,,,11568.1288651297,122.336120888998,,,,
"1889-01-01",,,,,11949.3247725886,127.27571912265,,,,
"1890-01-01",,,,,12960.660853602,154.116742818211,,,,
"1891-01-01",,,,,11677.0419815465,143.749847058956,,,,
"1892-01-01",,,,,11560.3493568142,144.693074748417,,,,
"1893-01-01",,,,,11171.3739410399,143.592894181103,,,,
"1894-01-01",,,,,13866.9735723562,169.540777763907,,,,
"1895-01-01",,,,,12762.283391557,161.881172711696,,,,
"1896-01-01",,,,,12128.2534638448,156.867772910872,,,,
"1897-01-01",,,,,12653.3702751402,163.568868555812,,,,
"1898-01-01",,,,,13166.8178239624,170.331546457791,,,,
"1899-01-01",,,,,14427.0981710713,184.315975172687,,,,
"1900-01-01",,,,,14765.506782795,190.601691386653,,,,
"1901-01-01",,,,,14353.1928420742,185.574061953542,,,,
"1902-01-01",,,,,15940.2125384336,199.261397479851,,,,
"1903-01-01",,,,,16259.1723793686,200.018044648271,,,,
"1904-01-01",,,,,17184.9338689116,205.984838648581,,,,
"1905-01-01",,,,,18943.1027482118,221.276270094268,,,,
"1906-01-01",,,,,22389.4249319727,248.918163943996,,,,
"1907-01-01",,,,,24213.7196319545,262.424547215398,,,,
"1908-01-01",,,,,24696.0491475147,265.699387543553,,,,
"1909-01-01",,,,,27286.625416572,285.279085516467,,,,
"1910-01-01",,,,,27321.6332039917,283.763568253399,,,,
"1911-01-01",,,,,28173.4893645375,282.045956577207,,,,
"1912-01-01",,,,,29566.0213530098,284.408969729332,,,,
"1913-01-01",,,,,31810.4095020279,291.671370877827,,,,
"1914-01-01",,,,,28916.4324086666,264.630993046531,,,,
"1915-01-01",,,,,25244.5044837565,233.902651874847,,,,
"1916-01-01",,,,,24960.5524302412,236.602525770803,,,,
"1917-01-01",,,,,17114.9182940722,186.774031105265,,,,
"1918-01-01",,,,,20148.9265371123,215.34471721449,,,,
"1919-01-01",,,,,19756.0613671802,195.400722880221,,,,
"1920-01-01",,,,,18970.331027316,193.964268531962,,,,
"1921-01-01",,,,,23229.6118300453,218.222840030571,,,,
"1922-01-01",,,,,27282.7356624142,251.725627147589,,,,
"1923-01-01",,,,,28476.8901888415,269.492876393577,,,,
"1924-01-01",,,,,34163.7107674628,317.391000313247,,,,
"1925-01-01",,,,,32876.2021412496,316.068053520313,,,,
"1926-01-01",,,,,38049.5751710487,360.154293310481,,,,
"1927-01-01",,,,,42872.8703266509,393.155775845733,,,,
"1928-01-01",,,,,40511.7895529005,377.089733751737,,,,
"1929-01-01",,,,,46754.8449760791,430.149765468446,,,,
"1930-01-01",,,,,42001.5653953163,398.368010547864,,,,
"1931-01-01",,,,,36291.4062917486,351.363091752352,,,,
"1932-01-01",,,,,29807.1861107899,307.112874084455,,,,
"1933-01-01",,,,,32366.6443465852,321.535460408972,,,,
"1934-01-01",,,,,42122.1477742064,383.89483903864,,,,
"1935-01-01",,,,,48190.1642602865,422.963588132366,,,,
"1936-01-01",,,,,33977.0025678911,335.668344157202,,,,
"1937-01-01",,,,,47976.2277816106,435.58429475483,,,,
"1938-01-01",,,,,47770.0708112502,440.515942067623,,,,
"1939-01-01",,,,,48983.6741084662,454.638721888349,,,,
"1940-01-01",,,,,52072.1389097147,458.47781590193,,,,
"1941-01-01",,,,,45549.0211871785,402.848119743768,,,,
"1942-01-01",,,,,44479.338793799,393.252305497745,,,,
"1943-01-01",,,,,7557.79232849598,173.051952555767,,,,
"1944-01-01",,,,,3804.17956627332,124.997418173021,,,,
"1945-01-01",,,,,4624.91769355724,136.592401504551,,,,
"1946-01-01",,,,,23540.7921626648,243.021428902103,,,,
"1947-01-01",,,,,39064.8010062198,361.428868316135,,,,
"1948-01-01",,,,,37730.6153301137,375.514372430048,,,,
"1949-01-01",,,,,42238.8403989386,412.059758907378,,,,
"1950-01-01",243950.156174452,562186.942095779,19464.5758798047,40344.3852597378,44004.7887865543,516.507157294656,0.579223155975342,0.426749379506649,0.379744836314931,47.1069689271298
"1951-01-01",265279.538137333,585826.652476733,19491.1393234134,40523.017239686,51854.312676881,591.720870560889,0.579223155975342,0.455727750865106,0.404814609354448,47.4199817384907
"1952-01-01",276698.107821653,608434.911550126,19653.4998222093,40985.7652178122,53768.0717224909,597.81647464596,0.579223155975342,0.465587685411414,0.412840819162482,47.6679932056539
"1953-01-01",293754.936776714,636666.309337033,19862.6288366374,41548.8087455558,59478.2308260587,639.376841049015,0.579223155975342,0.481980564667036,0.426619849569372,47.959005738126
"1954-01-01",305783.632176468,667574.532873024,20133.1288913959,42243.4948733602,68977.0104792687,737.325931342582,0.579223155975342,0.487969868368754,0.431157626085635,48.301019090516
"1955-01-01",322140.185726424,707048.926922528,20124.8979652073,42355.6276561024,77826.2011881356,826.458702381012,0.579223155975342,0.501912808471646,0.442691959715684,48.635032688297
"1956-01-01",335404.228014891,747933.142346122,20193.0393013443,42629.0835681548,88666.9460257672,959.963065275217,0.579223155975342,0.509364940859884,0.448470468820259,48.923046743362
"1957-01-01",348150.140346329,791812.413295204,20281.7579529529,42947.5984304152,92494.464116987,1061.38024392114,0.579223155975342,0.514880055731564,0.452523453752629,49.1840554274793
"1958-01-01",364482.387324667,836188.52161599,20352.550342681,43229.3891313702,93050.6989615443,1088.36518442837,0.579223155975342,0.52574450663453,0.46125507111812,49.4780702522153
"1959-01-01",388250.060712778,885902.99811642,20381.6646931662,43423.7095332467,99943.3433290662,1197.65828037186,0.579223155975342,0.546130242169921,0.478292976318391,49.8340841288851
"1960-01-01",420187.357428694,946608.252950573,20463.9304951573,43732.6084842988,116000.248492232,1425.36936768606,0.579223155975342,0.573459423198107,0.501338026569528,50.1997
"1961-01-01",455105.939765084,1015921.38362506,20594.1476777469,43671.704858333,132115.499967764,1658.56903216103,0.579223155975342,0.60070746021883,0.527517865712387,50.53635
"1962-01-01",483040.882553729,1089286.75236943,20534.0426430516,42549.1680127571,155352.891306125,1947.5264115516,0.579223155975342,0.62019411442228,0.551971965489002,50.87945
"1963-01-01",509811.76362849,1165909.71296683,20193.4814585363,41549.6666974829,174789.99283237,2206.81434027809,0.579223155975342,0.642300387427131,0.573984470519645,51.252
"1964-01-01",523779.196563046,1229714.2002971,20123.3598628387,41283.6398135786,186645.963505173,2492.2256935672,0.579223155975342,0.64656939659106,0.578785772941769,51.67535
"1965-01-01",541238.54542089,1283957.54717394,19632.5445946079,39160.412965399,201294.777663236,2674.38879762493,0.579223155975342,0.665547515424203,0.605553110977691,52.11235
"1966-01-01",573829.273547875,1342292.59244026,19312.0146425365,38876.4028074278,227262.776420332,2890.15171724136,0.579223155975342,0.699188679237679,0.632787254127491,52.519
"1967-01-01",614567.664476724,1412931.0545048,19552.4196648327,39832.1539837921,248668.093550396,3232.56460286116,0.579223155975342,0.727607187116095,0.653977725621107,52.9005
"1968-01-01",655306.093865338,1487708.79184302,19542.4031038304,39687.4586904181,264651.093384565,3553.71246919157,0.579223155975342,0.75940991140583,0.683799530785242,53.23575
"1969-01-01",694880.423080306,1575116.24914727,19402.1636915565,39381.3127740885,286410.378142983,3832.34267792187,0.579223155975342,0.789443037165997,0.711065530478924,53.53795
"1970-01-01",782177.013530459,1711418.92800188,19492.310851016,39155.1446655274,314766.685952934,3926.02196208881,0.579223155975342,0.855821784984646,0.77550942426603,53.82185
"1971-01-01",796397.819398281,1844427.66315544,19489.3650259637,38143.1871150874,330516.300537639,4038.61880453395,0.600888133049011,0.84512649744805,0.777672528111825,54.07349
"1972-01-01",825788.771978585,1977877.28319255,19439.6393479152,37685.2625953858,348953.735245344,4183.41219731448,0.609200775623322,0.853787652105146,0.790182377390306,54.381345
"1973-01-01",884633.366556489,2118894.99533171,19698.3050843268,37871.9277377359,375843.605737826,4389.46489296848,0.610125541687012,0.883220893870424,0.821558353098977,54.751406
"1974-01-01",933289.430891191,2259746.92232078,19983.8384836116,37819.9802741103,381238.694754616,4267.8238653804,0.603226900100708,0.900610620011771,0.845784166912216,55.110868
"1975-01-01",913782.176454971,2379506.31550981,19999.8260562657,37544.8401353371,363104.660871215,3838.36276982597,0.625911951065064,0.863984359120236,0.815437416789184,55.441001
"1976-01-01",978892.71290188,2495001.74917684,20212.6359348388,37902.7012603024,389625.004718711,3989.00732103603,0.620425760746002,0.903185717995887,0.85301950819564,55.71826
"1977-01-01",1003957.17265364,2611235.44484041,20287.819663516,37348.2198224436,377811.821341644,3612.3056124101,0.624092876911163,0.90841420969627,0.867864221706263,55.955411
"1978-01-01",1036486.74975394,2724875.12098353,20371.3760354306,37300.7712655166,395906.957683467,3522.03755090277,0.616312682628632,0.920447379200215,0.88230003668371,56.155143
"1979-01-01",1098252.74809787,2847094.52403002,20622.3437017566,37627.9073643153,411003.093569671,3537.81898021693,0.612323820590973,0.95174696881673,0.91427304458624,56.317749
"1980-01-01",1135923.01125638,2979350.14560069,20993.6272528698,38326.7716367916,412597.892774346,3418.50124531543,0.605762183666229,0.956618569242629,0.918640098485816,56.433883
"1981-01-01",1145512.72295512,3099023.88312883,21044.7889970118,38490.2535656108,400983.086859323,3158.90600963683,0.60871958732605,0.948484872837778,0.909821941190836,56.501675
"1982-01-01",1150250.50451291,3204104.38281945,21102.4338237417,38808.8185231973,392137.785904614,2919.20312918265,0.60707151889801,0.938474355638356,0.89721084928957,56.543548
"1983-01-01",1163699.1921342,3301930.74603601,21152.6413397556,39001.205482436,383315.823474851,2919.20312918265,0.607840418815613,0.936950490709758,0.894357394060994,56.564074
