"date","gdp","nks","emp","hrs","co2","sox","ls","tfpe","tfph"
"1810-01-01",,,,,2264.38318582791,,,,
"1811-01-01",,,,,2190.07700183701,,,,
"1812-01-01",,,,,2366.06533234177,,,,
"1813-01-01",,,,,2186.16615004802,,,,
"1814-01-01",,,,,2233.09637151595,,,,
"1815-01-01",,,,,2499.03429316759,,,,
"1816-01-01",,,,,2667.20092009436,,,,
"1817-01-01",,,,,2839.27839881013,,,,
"1818-01-01",,,,,2542.05366284653,,,,
"1819-01-01",,,,,2729.77454871828,,,,
"1820-01-01",,,,,3097.39461688378,,,,
"1821-01-01",,,,,3214.72017055362,,,,
"1822-01-01",,,,,3382.88679748039,,,,
"1823-01-01",,,,,3382.88679748039,,,,
"1824-01-01",,,,,3754.41771743488,,,,
"1825-01-01",,,,,4223.71993211424,,,,
"1826-01-01",,,,,4364.51059651805,,,,
"1827-01-01",,,,,6308.2039356484,,,,
"1828-01-01",,,,,6664.09144844691,,,,
"1829-01-01",,,,,6484.19226615316,,,,
"1830-01-01",,,,,6992.60299872246,,,,
"1831-01-01",,,,,6460.72715541919,,,,
"1832-01-01",,,,,7129.48281133728,,,,
"1833-01-01",,,,,7735.66483863145,,,,
"1834-01-01",,,,,9522.92410620201,,,,
"1835-01-01",,,,,9882.72247078952,,,,
"1836-01-01",,,,,11353.2027434515,,,,
"1837-01-01",,,,,12115.8188423055,,,,
"1838-01-01",,,,,12667.2489445537,,,,
"1839-01-01",,,,,12350.4699496452,,,,
"1840-01-01",,,,,12592.9427605628,,,,
"1841-01-01",,,,,14751.7329480879,,,,
"1842-01-01",,,,,15506.5273433639,,,,
"1843-01-01",,,,,15529.9924540978,,,,
"1844-01-01",,,,,16288.6977011628,,,,
"1845-01-01",,,,,19038.026508826,,,,
"1846-01-01",,,,,19777.177496946,,,,
"1847-01-01",,,,,22244.9249758017,,,,
"1848-01-01",,,,,17813.9298988707,,,,
"1849-01-01",,,,,18556.9917387797,,,,
"1850-01-01",,,,,20938.7004782774,93.4927562209957,,,
"1851-01-01",,,,,21388.4484340118,95.4729189528852,,,
"1852-01-01",,,,,23023.1844818116,101.286257728568,,,
"1853-01-01",,,,,27047.4509726871,114.861734183937,,,
"1854-01-01",,,,,31181.2213136545,129.09511609666,,,
"1855-01-01",,,,,35299.3482474659,143.303702173036,,,
"1856-01-01",,,,,36965.3711095776,149.083254337027,,,
"1857-01-01",,,,,37657.5918762296,151.736843728645,,,
"1858-01-01",,,,,36926.2625916876,149.5206596226,,,
"1859-01-01",,,,,37348.6345848991,151.261281842339,,,
"1860-01-01",,,,,40700.2345680675,162.72492937604,,,
"1861-01-01",,,,,44020.547736924,174.676704434573,,,
"1862-01-01",,,,,46457.0084014676,183.750657544228,,,
"1863-01-01",,,,,47164.8725752757,186.931679442698,,,
"1864-01-01",,,,,49984.5967151408,196.883372506435,,,
"1865-01-01",,,,,52624.4216727122,206.30437860206,,,
"1866-01-01",,,,,57168.831451524,221.981483013047,,,
"1867-01-01",,,,,57935.358402167,225.381456622231,,,
"1868-01-01",,,,,59272.8697140032,230.668407941228,,,
"1869-01-01",,,,,60778.5476527661,236.649277752447,,,
"1870-01-01",,,,,53942.3787256034,215.514973686674,,,
"1871-01-01",,,,,53649.0648414288,214.845053091682,,,
"1872-01-01",,,,,65029.6435474033,252.679272403998,,,
"1873-01-01",,,,,70285.8283518121,283.798211658239,,,
"1874-01-01",,,,,66863.8330364418,273.110798412428,,,
"1875-01-01",,,,,69656.181213784,283.527757438943,,,
"1876-01-01",,,,,69761.7742120868,284.614281512939,,,
"1877-01-01",,,,,68232.6311625899,281.063675204688,,,
"1878-01-01",,,,,69617.072695894,287.01993794191,,,
"1879-01-01",,,,,72045.7116568597,296.146630970366,,,
"1880-01-01",,,,,81279.2327306761,327.844039646931,,,
"1881-01-01",,,,,83238.5694769624,334.503160691845,,,
"1882-01-01",,,,,87853.3745879762,349.448529362735,,,
"1883-01-01",,,,,92135.7572969253,360.467985709267,,,
"1884-01-01",,,,,88498.6651331603,349.200118595946,,,
"1885-01-01",,,,,85084.491521368,336.082142472789,,,
"1886-01-01",,,,,84400.0924582939,334.703688116879,,,
"1887-01-01",,,,,88901.4828674268,343.60197594403,,,
"1888-01-01",,,,,92491.6448097239,361.306519029408,,,
"1889-01-01",,,,,94779.4931062858,367.985489504404,,,
"1890-01-01",,,,,104408.010210791,403.626289388831,,,
"1891-01-01",,,,,104583.998541295,405.521007136336,,,
"1892-01-01",,,,,104732.610909277,405.82303459881,,,
"1893-01-01",,,,,102820.204384459,401.339147338099,,,
"1894-01-01",,,,,108764.699103731,421.409293661818,,,
"1895-01-01",,,,,109699.3926813,425.277099347865,,,
"1896-01-01",,,,,113442.077843368,449.426011855765,,,
"1897-01-01",,,,,118756.925424612,469.404644689743,,,
"1898-01-01",,,,,122796.835322644,481.990671183435,,,
"1899-01-01",,,,,128404.996788062,507.105018633424,,,
"1900-01-01",,,,,137986.583671099,536.107366850104,,,
"1901-01-01",,,,,133426.530485131,526.078223786617,,,
"1902-01-01",,,,,125589.183499986,497.288972517837,,,
"1903-01-01",,,,,138056.979003301,541.450361609466,,,
"1904-01-01",,,,,134486.371319949,530.88992733983,,,
"1905-01-01",,,,,136011.603517657,540.80473369269,,,
"1906-01-01",,,,,145769.178731198,591.351952057554,,,
"1907-01-01",,,,,155405.517539281,640.887715106437,,,
"1908-01-01",,,,,156598.327334925,658.80095489656,,,
"1909-01-01",,,,,160208.043536167,689.695385942724,,,
"1910-01-01",,,,,160759.473638415,704.008429637555,,,
"1911-01-01",,,,,167478.317011908,768.046659168214,,,
"1912-01-01",,,,,169261.665427689,819.968773820234,,,
"1913-01-01",,,,,182640.68939784,891.339177500734,,,
"1914-01-01",,,,,126324.423636317,653.312836932022,,,
"1915-01-01",,,,,110188.249154925,573.434937180474,,,
"1916-01-01",,,,,117079.170007133,634.031694765132,,,
"1917-01-01",,,,,129797.260024944,722.065059208859,,,
"1918-01-01",,,,,115757.302102453,661.719276340618,,,
"1919-01-01",,,,,123966.180007553,714.252754468879,,,
"1920-01-01",,,,,162003.124507315,960.117229378075,,,
"1921-01-01",,,,,147200.55048597,857.626943367096,,,
"1922-01-01",,,,,174142.408460355,981.283864237342,,,
"1923-01-01",,,,,196598.519432762,1073.32995594834,,,
"1924-01-01",,,,,220556.397492143,1165.24271613132,,,
"1925-01-01",,,,,228233.39955394,1182.71342956149,,,
"1926-01-01",,,,,228131.717407426,1197.909151635,,,
"1927-01-01",,,,,227392.566419306,1252.37035542324,,,
"1928-01-01",,,,,225894.710184121,1269.72069338712,,,
"1929-01-01",,,,,250091.150202631,1392.98036249488,,,
"1930-01-01",,,,,253665.668737772,1426.32888597084,,,
"1931-01-01",,,,,232167.716453669,1289.01119416479,,,
"1932-01-01",,,,,204717.447746715,1118.67005538128,,,
"1933-01-01",,,,,212840.286912457,1138.68063071993,,,
"1934-01-01",,,,,214936.503471358,1113.85399972922,,,
"1935-01-01",,,,,208553.993351719,1063.59182522484,,,
"1936-01-01",,,,,211444.112823786,1108.81287351664,,,
"1937-01-01",,,,,232390.635005641,1252.70219402097,,,
"1938-01-01",,,,,215394.07313067,1202.18461590619,,,
"1939-01-01",,,,,207728.803624241,1178.93703952537,,,
"1940-01-01",,,,,147016.740451888,840.443476433647,,,
"1941-01-01",,,,,128002.179053796,719.157142181509,,,
"1942-01-01",,,,,130759.329565037,736.588203574673,,,
"1943-01-01",,,,,133696.379258572,757.482420909874,,,
"1944-01-01",,,,,85381.7162573316,503.114919209669,,,
"1945-01-01",,,,,114392.414828094,722.523381356101,,,
"1946-01-01",,,,,176387.237387238,1166.23146025571,,,
"1947-01-01",,,,,196011.891664413,1241.28270200039,,,
"1948-01-01",,,,,209762.446554518,1350.0514053546,,,
"1949-01-01",,,,,244510.364699736,1607.67900667513,0.722401389233441,,
"1950-01-01",290033.654540539,971687.160843019,19524.8809736632,45902.4979416561,215937.681529341,1505.21638126751,0.695767476397581,0.310490875605254,0.227189819916433
"1951-01-01",306146.631775974,995902.490180826,19658.8598557941,46405.4187436525,244174.031445882,1592.06136303346,0.693430048357512,0.323744332751101,0.236220730467923
"1952-01-01",316062.326562581,1019114.8227065,19738.6737020284,46165.687609358,242316.37684611,1749.34280733448,0.71137339055794,0.331002740144727,0.243087916343025
"1953-01-01",327217.477838953,1042240.30512482,19664.9371777688,45491.3770489804,229042.945874262,1667.93275546668,0.704870085702626,0.341351687359234,0.252643371942448
"1954-01-01",345809.346619676,1073344.08601177,19704.7042501767,45644.8502412795,241643.710338403,1820.49429767147,0.708994374565451,0.35714062743888,0.264077446965775
"1955-01-01",364401.279703125,1109733.62445817,19858.7207897012,45517.4623735695,255128.327306856,1792.80707916157,0.704220479704797,0.370633676856186,0.276111096502343
"1956-01-01",382993.16991809,1152447.46391837,20108.7548304181,44964.6602962343,286638.060170786,1988.80703789361,0.706081254162611,0.381845834103039,0.289468164471615
"1957-01-01",404063.973112586,1201769.88373946,20262.6096378299,44570.1143165257,296247.023016346,2049.06389364562,0.699081651209311,0.395738590354239,0.303484151107149
"1958-01-01",415219.124388958,1256612.16248927,20213.4468810416,44053.2563339318,284142.936729408,1978.17866824963,0.694167852062589,0.401875161935927,0.3101792585462
"1959-01-01",426374.275665331,1307258.34301788,20104.4527562213,43812.8995189755,279594.616098807,1882.70745181746,0.690214472412188,0.409211764275824,0.315855912158562
"1960-01-01",461079.143115731,1373474.14041575,20138.5839401856,44073.1606403238,289254.420017624,1828.0362518117,0.678757980266976,0.435168769449202,0.33492088226618
"1961-01-01",484628.859289756,1440265.53080372,20130.5924710893,43586.8269648845,299911.491142634,1959.55728518459,0.686041763882408,0.450670952367632,0.34939355678493
"1962-01-01",516854.856629109,1514481.66746419,20114.4668280913,43804.9532250689,318570.165027928,2191.27894372163,0.69674257711156,0.473505743038477,0.365629336459748
"1963-01-01",550320.267589743,1593236.33187282,20264.4895357983,43758.1933460191,356231.667755946,2374.14826615394,0.702463691149646,0.49397030927278,0.383706230581742
"1964-01-01",586264.634398391,1684428.56943049,20480.3162833215,44363.711372199,368265.358710683,2605.19246030484,0.699062796746625,0.513714187319247,0.398163342400667
"1965-01-01",614772.219399963,1774774.06533677,20543.2243669555,44233.1224257392,375250.140005827,2599.33851477415,0.692444646476126,0.529068488374892,0.411783626025469
"1966-01-01",646998.173870831,1873941.31869162,20701.5810352917,44396.2640971774,370326.377603483,2601.83123449301,0.688451599385389,0.544613892178929,0.425054447054777
"1967-01-01",679224.128341699,1977037.46081211,20759.3079831283,43812.1675646081,396748.092289931,2786.40438769854,0.684761124234682,0.561150324454106,0.442807087990591
"1968-01-01",708971.212701521,2083598.22816544,20706.3473757884,43206.1315332796,410209.244147651,2871.16655367686,0.690189229370246,0.577207684840888,0.459053775782713
"1969-01-01",759789.014518869,2204672.15492668,21018.0698497368,42287.5670546006,440741.264064332,3032.62598886813,0.677895571187952,0.601460458330203,0.490412433432383
"1970-01-01",806888.532603894,2329212.01998932,21300.9126765557,42442.5438956485,468207.176178441,3215.75738812904,0.676935323817105,0.621865519734517,0.510396054908419
"1971-01-01",849905.084759703,2460290.59140638,21391.674835452,42563.9202991735,493185.78655475,3391.04220860416,0.676985676454101,0.641685562716715,0.52716137561829
"1972-01-01",888474.11739488,2595470.06357278,21522.6112511339,41681.5923015889,512697.026130045,3505.33497056016,0.680983463881636,0.656659344717936,0.549462186150369
"1973-01-01",947207.4562532,2738999.90156833,21817.2833549461,41898.8244905673,550952.978329991,3968.27289799046,0.676100888825443,0.681740016583346,0.573709322746006
