"date","gdp","nks","emp","hrs","co2","sox","ls","tfpe","tfph","pop"
"1850-01-01",,,,,,9.19040456923235,,,,
"1851-01-01",,,,,,10.6750020533576,,,,
"1852-01-01",,,,,,12.1631057416338,,,,
"1853-01-01",,,,,,13.6550408367695,,,,
"1854-01-01",,,,,,15.1511627042351,,,,
"1855-01-01",,,,,,16.6518596698792,,,,
"1856-01-01",,,,,,18.1575560770241,,,,
"1857-01-01",,,,,,19.6687156271108,,,,
"1858-01-01",,,,,,21.1858450301893,,,,
"1859-01-01",,,,,,22.7094979939956,,,,
"1860-01-01",,,,,290.482985501631,24.2402795830173,,,,
"1861-01-01",,,,,531.278091904299,25.4218741311816,,,,
"1862-01-01",,,,,370.748020969187,25.7467600026576,,,,
"1863-01-01",,,,,416.613755522076,26.5196097999584,,,,
"1864-01-01",,,,,279.016551863409,26.9008344987026,,,,
"1865-01-01",,,,,439.54662279852,27.9200128601667,,,,
"1866-01-01",,,,,726.207463754077,29.2071202164948,,,,
"1867-01-01",,,,,932.603269242078,30.3353511774283,,,,
"1868-01-01",,,,,764.428909214818,30.6596357615443,,,,
"1869-01-01",,,,,668.875295562966,31.1431078347214,,,,
"1870-01-01",,,,,626.831705556151,31.743188803808,,,,
"1871-01-01",,,,,722.385319208003,33.0034621635767,,,,
"1872-01-01",,,,,737.673897392299,34.0884252894496,,,,
"1873-01-01",,,,,905.848257419559,35.5114551745883,,,,
"1874-01-01",,,,,928.781124696004,36.6179218147368,,,,
"1875-01-01",,,,,863.804667412744,37.5359479650226,,,,
"1876-01-01",,,,,970.824714702819,38.8253568587944,,,,
"1877-01-01",,,,,1112.24406290756,40.1873178030759,,,,
"1878-01-01",,,,,1009.04616016356,41.0336202226763,,,,
"1879-01-01",,,,,1517.39138479141,43.1812373598169,,,,
"1880-01-01",,,,,2300.9310167366,45.923362128451,,,,
"1881-01-01",,,,,1842.27367120771,43.4923606722959,,,,
"1882-01-01",,,,,2098.35735579468,44.0383087163751,,,,
"1883-01-01",,,,,2530.25968950105,44.8636532668975,,,,
"1884-01-01",,,,,2683.14547134401,45.0758324841478,,,,
"1885-01-01",,,,,3030.96062503675,45.6296877145903,,,,
"1886-01-01",,,,,3011.84990230638,45.5974547094473,,,,
"1887-01-01",,,,,3164.73568414935,46.0534504157977,,,,
"1888-01-01",,,,,3680.72519786935,47.0098954502126,,,,
"1889-01-01",,,,,3573.70515057927,46.6410608311894,,,,
"1890-01-01",,,,,3699.83592059972,46.4690345294516,,,,
"1891-01-01",,,,,4181.42613340505,53.6186665858973,,,,
"1892-01-01",,,,,4330.48977070194,59.3069389322187,,,,
"1893-01-01",,,,,4135.56039885217,64.699354067018,,,,
"1894-01-01",,,,,4548.35200982817,71.3206128829398,,,,
"1895-01-01",,,,,4789.14711623084,77.6636698777299,,,,
"1896-01-01",,,,,4697.41564712506,83.1915616684174,,,,
"1897-01-01",,,,,5190.47229356861,89.776150738577,,,,
"1898-01-01",,,,,5855.52544458551,96.7036277971302,,,,
"1899-01-01",,,,,6035.16623825099,109.005963133597,,,,
"1900-01-01",,,,,10606.4511153556,123.42756260421,,,,
"1901-01-01",,,,,11932.7352728433,135.513536825639,,,,
"1902-01-01",,,,,11886.8695382904,143.682758314778,,,,
"1903-01-01",,,,,11703.4066000789,156.97815894142,,,,
"1904-01-01",,,,,12043.5774646795,169.597048326043,,,,
"1905-01-01",,,,,12567.2112674916,176.146564348557,,,,
"1906-01-01",,,,,14978.9844760644,182.662122317467,,,,
"1907-01-01",,,,,16144.738562617,190.275158064229,,,,
"1908-01-01",,,,,17478.6670091968,204.27522060594,,,,
"1909-01-01",,,,,15181.5581370063,192.822198912072,,,,
"1910-01-01",,,,,18189.5858947666,213.524381211501,,,,
"1911-01-01",,,,,20070.0810114351,213.099702880616,,,,
"1912-01-01",,,,,21683.0260098783,214.992778793603,,,,
"1913-01-01",,,,,23357.1253210588,212.94630508312,,,,
"1914-01-01",,,,,25535.747712321,209.536953536274,,,,
"1915-01-01",,,,,22734.1157600487,200.66256265282,,,,
"1916-01-01",,,,,20104.4803123497,200.753835625802,,,,
