"date","gdp","nks","emp","hrs","co2","sox","ls","tfpe","tfph","pop"
"1850-01-01",,,,,,32.2056533204335,,,,
"1851-01-01",,,,,,32.295104654538,,,,
"1852-01-01",,,,,,32.3848787325912,,,,
"1853-01-01",,,,,,32.4749767190663,,,,
"1854-01-01",,,,,,32.5653997826374,,,,
"1855-01-01",,,,,,32.6561490961958,,,,
"1856-01-01",,,,,,32.7472258368641,,,,
"1857-01-01",,,,,,32.8386311860124,,,,
"1858-01-01",,,,,,32.9303663292731,,,,
"1859-01-01",,,,,,33.0224324565563,,,,
"1860-01-01",,,,,,33.1148307620655,,,,
"1861-01-01",,,,,,33.2043328403837,,,,
"1862-01-01",,,,,,33.2941465990268,,,,
"1863-01-01",,,,,,33.3842731233846,,,,
"1864-01-01",,,,,,33.4747135026264,,,,
"1865-01-01",,,,,,33.5654688297144,,,,
"1866-01-01",,,,,,33.6565402014169,,,,
"1867-01-01",,,,,,33.7479287183218,,,,
"1868-01-01",,,,,,33.9570646512624,,,,
"1869-01-01",,,,,,34.137162650489,,,,
"1870-01-01",,,,,,34.2085641620755,,,,
"1871-01-01",,,,,,34.9839891541458,,,,
"1872-01-01",,,,,,35.7397512111288,,,,
"1873-01-01",,,,,,36.4717385674895,,,,
"1874-01-01",,,,,,43.7851799174331,,,,
"1875-01-01",,,,,,54.72523927161,,,,
"1876-01-01",,,,,,54.9493760798507,,,,
"1877-01-01",,,,,,54.2688847825091,,,,
"1878-01-01",,,,,,61.5589936851088,,,,
"1879-01-01",,,,,,67.6614528219663,,,,
"1880-01-01",,,,,,68.7963969796412,,,,
"1881-01-01",,,,,,72.8532520913954,,,,
"1882-01-01",,,,,,76.8206621290716,,,,
"1883-01-01",,,,,,82.2277759899429,,,,
"1884-01-01",,,,,,88.4861492081176,,,,
"1885-01-01",,,,,,100.144479375714,,,,
"1886-01-01",,,,,,102.33089737509,,,,
"1887-01-01",,,,,,116.080701496278,,,,
"1888-01-01",,,,,,127.381148797397,,,,
"1889-01-01",,,,,,143.38097421019,,,,
"1890-01-01",,,,,,152.646843544246,,,,
"1891-01-01",,,,,,172.266237155625,,,,
"1892-01-01",,,,,,174.90066073521,,,,
