"date","gdp","nks","emp","hrs","co2","sox","ls","tfpe","tfph"
"1800-01-01",,,,,269.309926921294,,,,
"1801-01-01",,,,,284.92209659789,,,,
"1802-01-01",,,,,308.340351112786,,,,
"1803-01-01",,,,,316.146435951084,,,,
"1804-01-01",,,,,355.176860142576,,,,
"1805-01-01",,,,,362.982944980874,,,,
"1806-01-01",,,,,355.176860142576,,,,
"1807-01-01",,,,,402.013369172366,,,,
"1808-01-01",,,,,417.625538848963,,,,
"1809-01-01",,,,,429.33466610641,,,,
"1810-01-01",,,,,444.946835783007,,,,
"1811-01-01",,,,,476.1711751362,,,,
"1812-01-01",,,,,515.201599327692,,,,
"1813-01-01",,,,,554.232023519184,,,,
"1814-01-01",,,,,597.165490129825,,,,
"1815-01-01",,,,,640.098956740466,,,,
"1816-01-01",,,,,706.450677866002,,,,
"1817-01-01",,,,,764.99631415324,,,,
"1818-01-01",,,,,831.348035278776,,,,
"1819-01-01",,,,,811.83282318303,,,,
"1820-01-01",,,,,843.057162536223,,,,
"1821-01-01",,,,,882.087586727715,,,,
"1822-01-01",,,,,921.118010919207,,,,
"1823-01-01",,,,,960.148435110699,,,,
"1824-01-01",,,,,1081.14275010432,,,,
"1825-01-01",,,,,1209.94314993625,,,,
"1826-01-01",,,,,1401.19222847456,,,,
"1827-01-01",,,,,1541.70175556393,,,,
"1828-01-01",,,,,1697.82345232989,,,,
"1829-01-01",,,,,1912.4907853831,,,,
"1830-01-01",,,,,2224.73417891503,,,,
"1831-01-01",,,,,2412.08021503419,,,,
"1832-01-01",,,,,3220.00999579808,,,,
"1833-01-01",,,,,3758.62984964066,,,,
"1834-01-01",,,,,3602.5081528747,,,,
"1835-01-01",,,,,4597.78396975774,,,,
"1836-01-01",,,,,5038.82776312159,,,,
"1837-01-01",,,,,5651.60542292802,,,,
"1838-01-01",,,,,5358.87724149183,,,,
"1839-01-01",,,,,5877.98188323867,,,,
"1840-01-01",,,,,6256.57699789614,,,,
"1841-01-01",,,,,6619.55994287701,,,,
"1842-01-01",,,,,7368.94408735366,,,,
"1843-01-01",,,,,8270.54688617712,,,,
"1844-01-01",,,,,9913.72774463892,,,,
"1845-01-01",,,,,11935.5037177582,,,,
"1846-01-01",,,,,13539.6541520285,,,,
"1847-01-01",,,,,16053.2134699606,,,,
"1848-01-01",,,,,17879.8373221224,,,,
"1849-01-01",,,,,19409.8299504289,,,,
"1850-01-01",,,,,21084.2351482439,305.949762487805,,,
"1851-01-01",,,,,26240.15418394,370.323319229833,,,
"1852-01-01",,,,,28539.0461688188,400.530532437273,,,
"1853-01-01",,,,,32129.8451944361,446.74978138686,,,
"1854-01-01",,,,,35322.5338933001,490.258269616191,,,
"1855-01-01",,,,,40650.1867954387,559.361066493761,,,
"1856-01-01",,,,,42648.5445140431,587.646551055122,,,
"1857-01-01",,,,,43733.5903065666,604.131372922537,,,
"1858-01-01",,,,,44365.8831784688,614.695052014779,,,
"1859-01-01",,,,,48276.7316824562,666.67120463844,,,
"1860-01-01",,,,,50532.6902007245,696.453080666109,,,
"1861-01-01",,,,,48659.2298395329,667.35751560902,,,
"1862-01-01",,,,,50544.3993279819,690.272545803957,,,
"1863-01-01",,,,,58385.6115480526,788.759350378826,,,
"1864-01-01",,,,,62483.8060881592,840.697762789692,,,
"1865-01-01",,,,,62659.442997021,842.486882132222,,,
"1866-01-01",,,,,63096.5837479656,844.993972566721,,,
"1867-01-01",,,,,77619.8045896197,1028.00410813781,,,
"1868-01-01",,,,,87724.781412797,1155.74200270985,,,
