"date","gdp","nks","emp","hrs","co2","sox","ls","tfpe","tfph","pop"
"1850-01-01",,,,,,2.46117577614793,,,,
"1851-01-01",,,,,,2.44337970827362,,,,
"1852-01-01",,,,,,2.42577338634925,,,,
"1853-01-01",,,,,,2.40835367061996,,,,
"1854-01-01",,,,,,2.39111747328484,,,,
"1855-01-01",,,,,,2.3740617576373,,,,
"1856-01-01",,,,,,2.35718353721962,,,,
"1857-01-01",,,,,,2.3404798749914,,,,
"1858-01-01",,,,,,2.32394788251193,,,,
"1859-01-01",,,,,,2.30758471913596,,,,
"1860-01-01",,,,,,2.29138759122279,,,,
"1861-01-01",,,,,,2.28087651447867,,,,
"1862-01-01",,,,,,2.27039525758905,,,,
"1863-01-01",,,,,,2.25994360792248,,,,
"1864-01-01",,,,,,2.24952135436367,,,,
"1865-01-01",,,,,,2.23912828730268,,,,
"1866-01-01",,,,,,2.22876419862423,,,,
"1867-01-01",,,,,,2.21842888169697,,,,
"1868-01-01",,,,,,2.20812213136299,,,,
"1869-01-01",,,,,,2.19784374392724,,,,
"1870-01-01",,,,,,2.18759351714711,,,,
"1871-01-01",,,,,,2.17904809019318,,,,
"1872-01-01",,,,,,2.1705116601155,,,,
"1873-01-01",,,,,,2.16198419039274,,,,
"1874-01-01",,,,,,2.15346564465189,,,,
"1875-01-01",,,,,,2.14495598666757,,,,
"1876-01-01",,,,,,2.13645518036142,,,,
"1877-01-01",,,,,,2.12796318980156,,,,
"1878-01-01",,,,,,2.11947997920198,,,,
"1879-01-01",,,,,,2.11100551292193,,,,
"1880-01-01",,,,,,2.10253975546531,,,,
"1881-01-01",,,,,,2.09743520787494,,,,
"1882-01-01",,,,,,2.07110155532387,,,,
"1883-01-01",,,,,,2.04481712340838,,,,
"1884-01-01",,,,,,2.01858143285129,,,,
"1885-01-01",,,,,,1.99239400904229,,,,
"1886-01-01",,,,,,1.96625438199248,,,,
"1887-01-01",,,,,,1.94016208628942,,,,
"1888-01-01",,,,,,1.9141166610525,,,,
"1889-01-01",,,,,,1.88811764988892,,,,
"1890-01-01",,,,,,1.86216460084984,,,,
"1891-01-01",,,,,,1.83831535419302,,,,
"1892-01-01",,,,,,1.81448000681074,,,,
"1893-01-01",,,,,,1.79065848354465,,,,
"1894-01-01",,,,,,1.76685070964279,,,,
"1895-01-01",,,,,,1.74305661075743,,,,
"1896-01-01",,,,,,1.71927611294285,,,,
"1897-01-01",,,,,,1.69550914265317,,,,
"1898-01-01",,,,,,1.67175562674024,,,,
"1899-01-01",,,,,,1.64801549245141,,,,
"1900-01-01",,,,,,1.62428866742744,,,,
"1901-01-01",,,,,,1.59617198897798,,,,
"1902-01-01",,,,,,1.56807961755765,,,,
"1903-01-01",,,,,,1.54001148558178,,,,
"1904-01-01",,,,,,1.51196752563455,,,,
"1905-01-01",,,,,,1.48394767046867,,,,
